ssn_number,name,age,balance,join_date,account_status
156-45-0781,Michael Jackson,50,0,1990-02-12,0
873-01-1782,William Elliot,73,0,1991-03-14,0
123-26-7783,John Grisham,53,0,1982-04-30,0
123-55-6784,Truc Ngo,23,10000,2012-04-09,1
463-01-1785,John Borg,53,20000,2015-03-02,1
193-46-6886,Bill Gates,33,11000.45,2010-07-09,1
728-85-2387,Larry Ellison,23,610000,2011-06-23,1
863-15-6588,Mark Zunck,18,900000,2009-05-15,1
935-49-7989,Steven Harrison,54,10000000,2013-12-12,1
386-48-1281,Elton John,44,0.0,2012-11-01,0
365-35-6492,Richard Marx,37,90000.34,1993-02-13,1
725-12-1473,Albert Einstein,73,23000.99,1994-01-15,1
336-43-9824,Bill Clinton,36,510000,2000-12-01,1
125-39-7295,Mel Gibson,45,880000.2,1992-05-14,1
793-16-1376,Harrison Ford,53,153400.84,1995-07-11,1
746-93-9327,Bruce Willis,56,1210000.12,1999-09-12,1
123-45-6789,Taylor Swift,27,703000.64,2016-07-12,1
234-56-7890,Truc Ngo,45,0.0,2016-08-02,0
